post_title,post_author,post_category,F174,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,phone,email,website,post_content,post_tags,business_hours,post_images,range_length_yards,number_of_lanes,facility_type,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility,parking_available
Langley Rod & Gun Club,admin,Club,,3854 - 208th Street,Langley,British Columbia,Canada,V3A 4X7,49.1064,-122.6851,604-534-3525,manager@lrgc.com,http://www.lrgc.com,"Indoor and outdoor archery ranges. Office Wed 11-7:30, Fri-Sun 10/11-4:30. Indoor Sun 5-7 PM & Wed. Outdoor 9AM-Dusk. $236.25 adult/family + insurance. $10 non-member / $6 member drop-in. Beginner lessons available.",archery;club;indoor;outdoor;fraser valley,Indoor: Sun 5-7 PM & Wed; Outdoor: 9AM-Dusk,N/A,N/A,N/A,Both,Unknown,Unknown,Unknown,Yes,$236,$10,Yes,Yes,Contact for lessons,Compound; Recurve; Traditional,Yes,Yes
Maple Ridge Archery Club,admin,Club,,11925 Haney Pl (Indoor); 27150 106th Ave (Outdoor),Maple Ridge,British Columbia,Canada,V2W 1Y6,49.2167,-122.5986,,mapleridgearchery@gmail.com,http://www.mapleridgearchery.com,"Seasonal facilities. Indoor at Maple Ridge Leisure Centre (Oct-Apr) and outdoor at Selvey Park (May-Sept). Try-it Nights for beginners. JOP program. Indoor Thu 6:30-8:30 PM, Sun 6:30-8 PM. Outdoor Tue/Thu 5-8 PM, Sat 8 AM-1 PM. $165-$440 membership. $35 Try-it Night.",archery;club;indoor;outdoor;fraser valley,Indoor: Thu/Sun evenings; Outdoor: Tue/Thu/Sat,N/A,N/A,N/A,Both,Unknown,Unknown,Unknown,Yes,$165,$35,Yes,Yes,Intro Course $100,Compound; Recurve; Traditional,Yes,Yes
Ridgedale Rod and Gun Club,admin,Club,,35655 Harris Rd,Abbotsford,British Columbia,Canada,V3G 1R7,49.2326,-122.5123,604-826-0552,officeadmin@ridgedale.net,https://ridgedale.net/,Outdoor range up to 70 yards with summer 3D course. Office Tue-Fri 10:30 AM-5:30 PM. Archery Practice Thu 6-8 PM. Archery for Beginners program 4th Thu of month 6-7 PM. $165 individual / $190 family. $20 adult guest (with member).,archery;club;outdoor;3D;fraser valley,Thu 6-8 PM,N/A,70,N/A,Outdoor,Unknown,Yes,Unknown,Yes,$165,$20,Yes,Yes,Beginners program,Compound; Recurve; Traditional,Yes,Yes
Bowsmith Archery,admin,Range,,Mobile Service (Servicing Vancouver Island/Nanaimo),Salmon Arm,British Columbia,Canada,,50.7029,-119.2722,778-220-7147,jordanwm@hotmail.ca,https://bowsmitharchery.com/,"Mobile archery tag and archery lesson service based in Salmon Arm, serving the North Okanagan and Kamloops areas. Birthdays, corporate events, youth celebrations. Individual lessons available.",archery;mobile;events;arrow tag;salmon arm,By Booking,N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,No,N/A,$450 event,Yes,Yes,Contact for lessons,Compound; Recurve; Traditional,Unknown,Unknown
Nelson & District Rod & Gun Club,admin,Club,,801 Railway St (Indoor); 124 Porto Rico Rd (Outdoor),Nelson,British Columbia,Canada,V1L 5P7,49.5027,-117.2912,250-551-7414,Membership@nrgcbc.ca,http://www.nrgcbc.ca/,West Kootenays archery destination. Indoor range (5 archers) and outdoor range with 14 stations/15 targets. Saturday morning beginner sessions 11 AM-Noon. $85 individual / $110 family / $30 junior.,archery;club;indoor;outdoor;kootenays,Sat 11 AM-Noon (beginners),N/A,N/A,14,Both,Unknown,Unknown,Unknown,Yes,$85,N/A,Yes,Yes,Sat beginner sessions,Compound; Recurve; Traditional,Yes,Yes
Boorman Archery,admin,Pro Shop,,422A East Columbia St,New Westminster,British Columbia,Canada,V3L 3W9,49.2250,-122.8929,604-524-1674,boormanarchery@gmail.com,https://boormanarchery.com/,World-renowned archery destination since 1964. Pro shop and indoor range. Tue-Sat 9:30 AM-5 PM. Private/group lessons $45-$60/hr. Adult 4-week course $119.99. Drop-in $20-$25. Shooter Cards available.,archery;pro shop;indoor;lessons;lower mainland,Tue-Sat 9:30 AM-5 PM,N/A,N/A,N/A,Indoor,Yes,Unknown,Unknown,No,N/A,$20-$25,Yes,Yes,$45-$60/hr,Recurve; Compound; Longbow; Crossbow,Yes,Yes
North Shore Archers,admin,Club,,"Brockton School, 1150 Lynn Valley Rd",North Vancouver,British Columbia,Canada,V7J 1Z9,49.3290,-123.0534,,info@northshorearchers.org,http://www.northshorearchers.org,"Indoor pop-up range at Brockton School gym. Tue 7-9 PM and Sat 10:30 AM-12:30 PM. Beginner intro lesson $35 (1.5 hrs, equipment provided). $75 adult / $45 junior / $130 family + BCAA fee.",archery;club;indoor;north shore,Tue 7-9 PM; Sat 10:30 AM-12:30 PM,N/A,N/A,N/A,Indoor,Unknown,Unknown,Unknown,Yes,$75,Session fee,Yes,Yes,$35 intro lesson,Recurve; Compound; Traditional,Yes,Yes
SOSA Archers (Southern Okanagan Sportsmen's Association),admin,Club,,352 Sportsmen's Bowl Road (Outdoor); 5856 Cessna Street (Indoor),Oliver,British Columbia,Canada,V0H 1T5,49.1833,-119.5500,250-498-4844,ost287642@gmail.com,http://www.okanagansportsmen.com/archery.html,"Indoor range at Air Cadet Building and outdoor range open 365 days. Outdoor 8AM-9PM, Indoor Mon & Thu nights from 6 PM. JOP Thu evenings. Broadhead pits and crossbow butts. $125 regular / $165 family / $95 junior / $115 senior. Drop-in $6-10.",archery;club;indoor;outdoor;okanagan,Outdoor: 8AM-9PM; Indoor: Mon/Thu 6 PM,N/A,N/A,N/A,Both,Unknown,Unknown,Unknown,Yes,$125,$6-$10,Yes,Yes,JOP Youth Program,Recurve; Compound; Crossbow,Yes,Yes
Arrowsmith Archers (Parksville-Qualicum Fish & Game),admin,Club,,1245 Chattell Rd (Henry Range); 1979 Dorman Rd (Dorman Range),Parksville,British Columbia,Canada,V9P 2H1,49.3002,-124.2616,250-228-3877,info@pqfg.org,https://pqfg.org/,Year-round archery on Central Vancouver Island. Indoor at Nanoose Pentecostal Camp (Sept-May) Mon/Wed 6-8 PM. Outdoor Henry Range 10-70yds and Dorman Range (field course & 3D) 9 AM-8 PM summer. JOP program. $130 regular / $50 junior + $35 key fee. First drop-in free.,archery;club;indoor;outdoor;3D;vancouver island,Indoor: Mon/Wed 6-8 PM; Outdoor: 9 AM-8 PM,N/A,10-70,N/A,Both,Unknown,Yes,Yes,Yes,$130,Free first,Yes,Yes,JOP Program,Recurve; Compound; Crossbow,Yes,Yes
Penticton Archery Club (Penticton Shooting Sports),admin,Club,,1787 Highway 97,Penticton,British Columbia,Canada,V2A 6K6,49.4941,-119.6073,250-328-8619,gregghar66@gmail.com,https://www.pentictonshootingsports.com/archery/,"POSSIBLY CLOSED. Facility forced to cease operations Dec 31, 2025 due to federal land divestment. Indoor 20-yard and outdoor 20-70 yard ranges. Community petition of 9,800+ signatures submitted to save the club.",archery;club;indoor;outdoor;okanagan,Wed 7-9 PM; Sat 2-4 PM,N/A,20-70,N/A,Both,Unknown,Unknown,Unknown,Yes,$125,$5,Yes,No,Informal assistance,Recurve; Compound; Traditional,Yes,Yes
Silvertip Archers - Indoor Range,admin,Club,,835 Central St W,Prince George,British Columbia,Canada,V2M 3C6,53.9170,-122.7827,778-416-0674,silvertiparchers@gmail.com,https://silvertiparchers.ca/,Indoor 18m range with 24/7 key access (6:30 AM-11 PM). JOP program and Tuesday Development Nights. Friday night drop-in $5. $190 adult / $130 junior / $320 family + BCAA fee.,archery;club;indoor;northern bc,6:30 AM-11 PM daily,N/A,18,N/A,Indoor,Unknown,Unknown,Unknown,Yes,$190,$5,Yes,Yes,JOP; Tuesday Development,Compound; Recurve; Traditional,Yes,Yes
Silvertip Archers - Outdoor,admin,Club,,6390 Trans-Canada Hwy,Prince George,British Columbia,Canada,V2K 5C5,53.9282,-122.6338,778-416-0674,silvertiparchers@gmail.com,https://silvertiparchers.ca/,Outdoor target and field ranges with 3D course. 8 AM-sunset for members. Requires own equipment. Membership includes indoor range access. Club shoots and competitive events.,archery;club;outdoor;3D;northern bc,8 AM-sunset,N/A,N/A,N/A,Outdoor,Unknown,Yes,Unknown,Yes,$190,N/A,No,No,Club events,Compound; Recurve; Traditional,Yes,Yes
Quesnel River Archers,admin,Club,,160 Barlow Ave (Indoor); Campsite Rd (Outdoor); Sword Ave (Fita),Quesnel,British Columbia,Canada,V2J 3J4,52.9772,-122.4970,250-249-5623,quesnelriverarchers@gmail.com,https://www.facebook.com/groups/415123712208449,"North Cariboo archery with provincial championship history. Indoor 18m range, outdoor range, and Fita range. Sat/Sun sessions. Children's archery program (K-12). $5-$10 guest estimate.",archery;club;indoor;outdoor;cariboo,Sat/Sun morning & afternoon,N/A,18,N/A,Both,Unknown,Unknown,Unknown,Yes,N/A,$5-$10,Yes,Yes,Children's program K-12,Compound; Recurve; Traditional,Yes,Yes
Richmond Rod and Gun Club - Indoor Archery,admin,Club,,7400 River Rd,Richmond,British Columbia,Canada,V6X 1X5,49.1804,-123.1406,604-278-1101,N/A,https://richmondrodandgunclub.com/,Indoor range with drop-in Mon/Wed/Thu/Fri 7:30-9:30 PM. All bow types including crossbow welcome. Beginner Lessons $40 (Mondays including gear). $135-$165 membership. $18 non-member / $6 member / $12 youth drop-in. $12 equipment rental.,archery;club;indoor;lower mainland,Mon/Wed/Thu/Fri 7:30-9:30 PM,N/A,N/A,N/A,Indoor,Unknown,Unknown,Unknown,Yes,$135,$18,Yes,Yes,$40 beginner lessons,All; Crossbow,Yes,Yes
Gum Ying Richmond Archery Club,admin,Club,,4221 Shell Rd Unit 160,Richmond,British Columbia,Canada,V6X 2W8,49.1705,-123.1580,604-338-3999,richmondarchery@hotmail.com,http://www.richmondarchery.com/,"One of largest indoor ranges in BC. 18m range with 24 shooting spots, capacity 70 people. Tue-Fri 3:30-8:15 PM, Sat 9:30 AM-6:15 PM, Sun 1:30-6:15 PM, Mon 3:30-6 PM. Intro $35, Family $70, JOP $666.75. $35 yearly membership. $20-$25/hr.",archery;club;indoor;lower mainland,Tue-Sun (see hours),N/A,18,24,Indoor,Unknown,Unknown,Unknown,No,$35,$20-$25/hr,Yes,Yes,$35 Intro; JOP,Recurve; Longbow; Compound,Yes,Yes
Bulkley Valley Bowmen,admin,Club,,Behind Fall Fair Grounds (Outdoor); 7091 Kroeker Road (Indoor),Smithers,British Columbia,Canada,V0J 2N0,54.7792,-127.1761,250-877-8734,membership@bvbowmen.ca,https://www.bulkleyvalleybowmen.com/,Year-round archery in Bulkley Valley. Indoor at BV Rod & Gun (Jan-Apr) Mon 6:30-9:30 PM. Outdoor along Bulkley River dawn-dusk. Junior Indoor Archery Program free for members' kids. $57.80 individual / $85.50 family. $10 indoor session fee.,archery;club;indoor;outdoor;northern bc,Indoor: Mon 6:30-9:30 PM (Jan-Apr),N/A,N/A,N/A,Both,Unknown,Unknown,Unknown,Yes,$57.80,$10,Yes,Yes,Free junior program,Compound; Recurve; Traditional,Yes,Yes
Squamish Valley Rod & Gun Club,admin,Club,,2050 Centennial Way,Squamish,British Columbia,Canada,V8B 0A3,49.7286,-123.1427,,archery@svrgc.org,https://svrgc.org/archery-home,Sea-to-Sky corridor archery. Indoor sessions Wed 7:30-9 PM and Fri 7-9 PM. Outdoor range 9 AM-9 PM daily for members. JOP program with certified instructors. $125 adult resident / $165 non-resident / $190 family. $5 adult / $2 junior drop-in.,archery;club;indoor;outdoor;sea to sky,Indoor: Wed/Fri evenings; Outdoor: 9 AM-9 PM,N/A,N/A,N/A,Both,Unknown,Unknown,Unknown,Yes,$125,$5,Yes,Yes,JOP Program,Compound; Recurve; Traditional,Yes,Yes
Sunshine Coast Rod and Gun Club,admin,Club,,4384 Parkway Drive,Sechelt,British Columbia,Canada,V0N 3A1,49.4447,-123.7150,,archery@scrgc.ca,https://scrgc.ca/Archery,Indoor and outdoor ranges in coastal forest. Sat drop-in 9:30-11:30 AM. Youth program Sat 11:30 AM-1 PM. Members Sun 9:30 AM. $165 adult / $175 bundle / $40 junior / $145 senior. $20 guest + $2 target fee. Equipment rental $10 non-member / $5 member.,archery;club;indoor;outdoor;sunshine coast,Sat 9:30-11:30 AM (drop-in); Sun 9:30 AM (members),N/A,N/A,N/A,Both,Unknown,Unknown,Unknown,Yes,$165,$20,Yes,Yes,Open house events,Compound; Recurve; Traditional,Yes,Yes
Semiahmoo Fish & Game Club / Semiahmoo Archers,admin,Club,,1284 184th Street,Surrey,British Columbia,Canada,V3Z 9R9,49.0161,-122.7183,604-535-8366,archery.sfgc@gmail.com,https://www.sfgc.info/archery,"Indoor and outdoor ranges. Indoor Mon/Thu 7:30-9:30 PM. Outdoor dawn-dusk with 20-70 yard targets. Adult classes, JOP, group events. $120 individual / $150 family / $50 junior / $60 senior. $10 non-member / $5 adult member drop-in.",archery;club;indoor;outdoor;lower mainland,Indoor: Mon/Thu 7:30-9:30 PM; Outdoor: dawn-dusk,N/A,20-70,N/A,Both,Unknown,Unknown,Unknown,Yes,$120,$10,Yes,Yes,Adult/JOP classes,Recurve; Compound; Crossbow,Yes,Yes
Terrace Whiskey-Jack Archers,admin,Club,,Thornhill Junior Secondary (Indoor); 3577 Rifle Range Road (Outdoor),Terrace,British Columbia,Canada,V8G 3P1,54.5173,-128.5995,,b_gibson87@hotmail.com,https://www.terrace-archery.com/,Northern BC archery in the Skeena region. Indoor at Thornhill Jr Secondary (Nov-Apr). Outdoor at Rifle Range Road year-round. JOP program. Annual 3D archery competition. Check website for fees.,archery;club;indoor;outdoor;3D;northern bc,Indoor: Nov-Apr,N/A,N/A,N/A,Both,Unknown,Yes,Yes,Yes,Check website,N/A,Yes,Yes,JOP; Intro coaching,Compound; Recurve; Traditional,Yes,Yes
West Kootenay Archers,admin,Club,,3430 Casino Road,Trail,British Columbia,Canada,V1R 4X3,49.0936,-117.6726,,WestKootenayarchers@gmail.com,https://www.facebook.com/westkootenayarchers,Stunning outdoor 3D archery at Casino Range with Trail Wildlife Association. Three 3D courses (15 targets each). Dawn-dusk access. Event-based drop-in $10-$20. Youth summer camps. Requires WKA or TWA membership ($20-$40 for events).,archery;club;outdoor;3D;kootenays,Dawn-dusk,N/A,N/A,45,Outdoor,Unknown,Yes,Unknown,Yes,$20-$40,$10-$20,No,Yes,Summer camps,Traditional; Compound,Yes,Yes
UBC Archers,admin,Club,,6108 Thunderbird Boulevard (Osborne Building),Vancouver,British Columbia,Canada,V6T 1Z3,49.2603,-123.2437,,ubcarchers@gmail.com,https://ubcarchery.ca/,"UBC campus archery club. Indoor range at Osborne Gym, Mon 5-7 PM during winter terms. Open to students, alumni, and community. $65 alumni/community. $15 non-member drop-in. Equipment provided. Beginner lessons included.",archery;club;indoor;university,Mon 5-7 PM (winter terms),N/A,N/A,N/A,Indoor,Unknown,Unknown,Unknown,Yes,$65,$15,Yes,Yes,Beginner lessons,Recurve; Compound; Traditional,Yes,Yes
Lykopis Archery,admin,Range,,2180 Main St,Vancouver,British Columbia,Canada,V5T 3C5,49.2657,-123.1006,604-423-4226,lykopisinfo@gmail.com,https://lykopis.com/,"Vancouver's premier traditional and historical archery school. Boutique indoor range specializing in longbow, recurve, and historical shooting styles. Shop Mon/Tue/Thu/Fri 10:30-5:30. Open Range Fri 6:30-8:30 PM ($25 own equipment / $35 rental). Intro class $140. Private $90-$160. Ongoing $249/mo.",archery;school;traditional;historical;vancouver,Mon/Tue/Thu/Fri 10:30-5:30; Fri Open Range 6:30-8:30 PM,N/A,N/A,N/A,Indoor,Yes,Unknown,Unknown,No,N/A,$25-$35,Yes,Yes,$90-$160 private,Traditional; Historical; Longbow; Recurve,Yes,Yes
Vanderhoof Fish & Game Club,admin,Club,,3501 Quail Road,Vanderhoof,British Columbia,Canada,V0J 3A0,54.0175,-124.0077,250-570-9280,N/A,N/A,"POSSIBLY CLOSED. Outdoor range affiliated with Nechako Valley Sporting Association. No current website, email, or phone available. Status uncertain - limited recent online activity.",archery;club;outdoor;central bc,Check with club,N/A,N/A,N/A,Outdoor,Unknown,Unknown,Unknown,Yes,Contact club,N/A,No,No,N/A,Compound; Recurve; Traditional,Yes,Yes
Victoria Bowmen,admin,Club,,2401 Burnside Rd W,Victoria,British Columbia,Canada,V9B 6N1,48.4637,-123.4455,250-727-8351,membership@victoriabowmen.com,https://www.victoriabowmen.com/,Victoria's oldest archery club. Outdoor at Carnarvon Park Lacrosse Box (summer) and indoor at Saanich Commonwealth Place (winter). JOP and beginner programs. $115 senior (>25) / $45 junior / $240 family + BCAA/AC fees.,archery;club;indoor;outdoor;vancouver island,Members only - check website,N/A,N/A,N/A,Both,Unknown,Unknown,Unknown,Yes,$115,N/A,No,Yes,Beginner programs,Compound; Recurve; Traditional,Yes,Yes
UVic Archery Club,admin,Club,,"McKinnon Gym, University of Victoria",Victoria,British Columbia,Canada,V8W 2Y2,48.4621,-123.3114,250-472-4000,archersofvic@gmail.com,https://vikesrec.ca/sports/2015/10/1/Archery%20Club.aspx,UVic campus archery club. Indoor gym range Wed 1:30-4:30 PM and Fri 3:30-6:30 PM. Open to UVic students. $30 per semester. Equipment provided. Coaching during practice.,archery;club;indoor;university,Wed 1:30-4:30 PM; Fri 3:30-6:30 PM,N/A,N/A,N/A,Indoor,Unknown,Unknown,Unknown,Yes,$30/semester,N/A,Yes,Yes,Coaching at practice,Recurve; Compound; Traditional,Yes,Yes
